True_Label,Predicted_Label,Predicted_Probability,Confidence_Score,Correct
1,1,0.9999999999043252,0.9999999999043252,1
0,0,1.0372740311470102e-05,0.9999896272596885,1
0,0,0.0003940299934372394,0.9996059700065627,1
0,0,0.023057553405555656,0.9769424465944443,1
1,1,0.9999873957294,0.9999873957294,1
1,1,0.9993034197288895,0.9993034197288895,1
1,1,0.999999999999972,0.999999999999972,1
0,0,1.5494452084226392e-05,0.9999845055479157,1
0,0,6.971272040418444e-05,0.9999302872795958,1
1,1,1.0,1.0,1
1,1,0.9999429629343424,0.9999429629343424,1
1,1,0.9999999998142246,0.9999999998142246,1
0,0,0.0016826861828982882,0.9983173138171018,1
1,1,0.9999999999999996,0.9999999999999996,1
1,1,1.0,1.0,1
1,1,0.9999404322594877,0.9999404322594877,1
1,1,0.9999999782989397,0.9999999782989397,1
0,0,5.126917823508857e-05,0.9999487308217649,1
1,1,0.9999725271969998,0.9999725271969998,1
1,1,0.999214649653072,0.999214649653072,1
1,1,0.9999997239591414,0.9999997239591414,1
1,1,0.9999999990258768,0.9999999990258768,1
1,1,0.9999999995604527,0.9999999995604527,1
0,0,3.239795651415754e-08,0.9999999676020435,1
1,1,1.0,1.0,1
1,1,0.9999430849716672,0.9999430849716672,1
1,1,0.9999999999999998,0.9999999999999998,1
1,1,1.0,1.0,1
1,1,0.9999999955288028,0.9999999955288028,1
1,1,0.9999999999854914,0.9999999999854914,1
1,1,0.9999999996326681,0.9999999996326681,1
1,1,1.0,1.0,1
1,1,0.9999999818005755,0.9999999818005755,1
1,1,0.9999999991819011,0.9999999991819011,1
0,0,2.7721594932941905e-10,0.9999999997227841,1
1,1,0.999803360844086,0.999803360844086,1
0,0,5.710231756313734e-06,0.9999942897682437,1
0,0,0.00011518108722445487,0.9998848189127756,1
1,1,0.9999999998097298,0.9999999998097298,1
1,1,0.9999999984613597,0.9999999984613597,1
1,1,1.0,1.0,1
1,1,1.0,1.0,1
1,1,0.9999999999999993,0.9999999999999993,1
1,1,0.9999993984327,0.9999993984327,1
1,1,0.9999999999999654,0.9999999999999654,1
1,1,1.0,1.0,1
0,0,1.4807413602670706e-11,0.9999999999851926,1
1,1,0.9999999999999998,0.9999999999999998,1
1,1,0.9999999999933455,0.9999999999933455,1
0,0,1.029493290419631e-06,0.9999989705067096,1
