True_Label,Pred_TPE,Pred_GWO,Prob_TPE_Unstable,Prob_GWO_Unstable,Conf_TPE,Conf_GWO,Correct_TPE,Correct_GWO,Agreement
1,1,1,0.9999999989866832,0.9999999999677964,0.9999999989866832,0.9999999999677964,1,1,1
0,0,0,4.509294668602838e-06,1.9898306224471116e-05,0.9999954907053314,0.9999801016937755,1,1,1
0,0,0,3.565639006727144e-05,0.0001503484915527687,0.9999643436099327,0.9998496515084472,1,1,1
0,0,0,0.20763703614962226,0.010113512770180473,0.7923629638503777,0.9898864872298195,1,1,1
1,1,1,0.9999759385929702,0.9999962488970898,0.9999759385929702,0.9999962488970898,1,1,1
1,1,1,0.9998237098507914,0.9998765582647093,0.9998237098507914,0.9998765582647093,1,1,1
1,1,1,0.9999999999999991,0.9999999999999998,0.9999999999999991,0.9999999999999998,1,1,1
0,0,0,0.0001151468572072297,1.4228447296570837e-05,0.9998848531427927,0.9999857715527034,1,1,1
0,0,0,3.4884002550121904e-05,4.441193329749314e-05,0.9999651159974499,0.9999555880667025,1,1,1
1,1,1,1.0,1.0,1.0,1.0,1,1,1
1,1,1,0.9999302423110373,0.9999433775785012,0.9999302423110373,0.9999433775785012,1,1,1
1,1,1,0.9999999999638671,0.9999999999964087,0.9999999999638671,0.9999999999964087,1,1,1
0,0,0,0.0028780569916815003,0.011626847135797872,0.9971219430083185,0.9883731528642021,1,1,1
1,1,1,1.0,1.0,1.0,1.0,1,1,1
1,1,1,1.0,1.0,1.0,1.0,1,1,1
1,1,1,0.9999924119116059,0.9999515307270377,0.9999924119116059,0.9999515307270377,1,1,1
1,1,1,0.9999999648594141,0.9999999883667651,0.9999999648594141,0.9999999883667651,1,1,1
0,0,0,4.2025757873197675e-05,1.1443695671708533e-05,0.9999579742421268,0.9999885563043283,1,1,1
1,1,1,0.9999878611278173,0.9999965014449764,0.9999878611278173,0.9999965014449764,1,1,1
1,1,1,0.9998862738449221,0.999523385286578,0.9998862738449221,0.999523385286578,1,1,1
1,1,1,0.9999999822436626,0.9999999392319298,0.9999999822436626,0.9999999392319298,1,1,1
1,1,1,0.9999999999790798,0.9999999999754388,0.9999999999790798,0.9999999999754388,1,1,1
1,1,1,0.9999999999988478,0.9999999999957285,0.9999999999988478,0.9999999999957285,1,1,1
0,0,0,1.1957512587273274e-09,1.805048384849929e-08,0.9999999988042487,0.9999999819495161,1,1,1
1,1,1,1.0,1.0,1.0,1.0,1,1,1
1,1,1,0.9999996145073925,0.9999999178093021,0.9999996145073925,0.9999999178093021,1,1,1
1,1,1,0.9999999999999967,0.9999999999999998,0.9999999999999967,0.9999999999999998,1,1,1
1,1,1,1.0,1.0,1.0,1.0,1,1,1
1,1,1,0.9999999999130402,0.9999999999715172,0.9999999999130402,0.9999999999715172,1,1,1
1,1,1,0.9999999999987996,0.999999999999289,0.9999999999987996,0.999999999999289,1,1,1
1,1,1,0.9999999999837292,0.9999999998178084,0.9999999999837292,0.9999999998178084,1,1,1
1,1,1,1.0,1.0,1.0,1.0,1,1,1
1,1,1,0.999999974767412,0.9999999805128049,0.999999974767412,0.9999999805128049,1,1,1
1,1,1,0.9999999990727755,0.9999999993622384,0.9999999990727755,0.9999999993622384,1,1,1
0,0,0,1.3841760637631856e-11,1.2581051235556073e-10,0.9999999999861583,0.9999999998741895,1,1,1
