,count,mean,std,min,25%,50%,75%,max,range
tau1,60000.0,5.249999930614222,2.742434096999787,0.500793021360319,2.8748915690490775,5.250003871926565,7.624689704807308,9.99946946943287,9.498676448072551
tau2,60000.0,5.250000536852722,2.7424369431766955,0.500141360493773,2.8750108529100626,5.249981261165705,7.624896226798954,9.99983655621537,9.499695195721598
tau3,60000.0,5.250000536852722,2.7424369431766817,0.500141360493773,2.8750108529100626,5.249981261165705,7.624896226798954,9.99983655621537,9.499695195721598
tau4,60000.0,5.2500005368527205,2.7424369431766933,0.500141360493773,2.8750108529100626,5.249981261165705,7.624896226798954,9.99983655621537,9.499695195721598
p1,60000.0,3.7499999579361694,0.7521287637246762,1.58258966481528,3.2182997912410802,3.751025437294685,4.282420204786693,5.8644179596283,4.28182829481302
p2,60000.0,-1.249999985978723,0.43301693634416044,-1.99994466917731,-1.6249971561637926,-1.24999614168707,-0.8749929216184971,-0.500024528740323,1.4999201404369868
p3,60000.0,-1.2499999859787232,0.43301693634415744,-1.99994466917731,-1.6249971561637926,-1.24999614168707,-0.8749929216184971,-0.500024528740323,1.4999201404369868
p4,60000.0,-1.249999985978723,0.43301693634416083,-1.99994466917731,-1.6249971561637926,-1.24999614168707,-0.8749929216184971,-0.500024528740323,1.4999201404369868
g1,60000.0,0.5249997888492075,0.27424410420868095,0.050009303611129,0.287521377456071,0.5250091478346385,0.762434853992323,0.999937073063054,0.949927769451925
g2,60000.0,0.5250002296008877,0.2742434260027019,0.050028493958976,0.28749656144255775,0.5250069064908776,0.7624903123990713,0.999981832400081,0.949953338441105
g3,60000.0,0.5250002296008875,0.27424342600270296,0.050028493958976,0.28749656144255775,0.5250069064908776,0.7624903123990713,0.999981832400081,0.949953338441105
g4,60000.0,0.5250002296008874,0.27424342600270357,0.050028493958976,0.28749656144255775,0.5250069064908776,0.7624903123990713,0.999981832400081,0.949953338441105
